3Alpha_Code,Taxonomic_Code,Name_en,Name_fr,Name_es,Name_ar,Name_cn,Name_ru,Scientific_Name,Author,Family_Group,Order_Group,Major_Group,Yearbook_Group,ISSCAAP_Group,CPC_Group,CPCdiv_Group
OPU,1210504203,Slender thread herring,Chardin crin,Machuelo hebra crinudo,رَنكة هُلْب,蒲氏后丝鲱,NA,Opisthonema bulleri,(Regan 1904),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
OPM,1210504204,Middling thread herring,Chardin pinchague,Machuelo hebra mediana,رَنكة  خَيْط وَسَطي,少耙后丝鲱,NA,Opisthonema medirastre,Berry & Barrett 1963,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
THX,12105042XX,Thread herrings nei,Chardins nca,Machuelos nep,NA,NA,NA,Opisthonema spp,NA,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SRH,1210504901,Silver-stripe round herring,Hareng gracile,Arenquillo de banda,NA,NA,NA,Spratelloides gracilis,(Temminck & Schlegel 1846),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SPD,1210504902,Delicate round herring,Hareng rond,Arenquillo fino,رَنْكَة دائريَّة رَهِيفَة,繍眼银带鲱,NA,Spratelloides delicatulus,(Bennett 1832),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LCP,1210506301,Atlantic piquitinga,Harengule piquitinge atlantiq.,Sardineta piquitinga,NA,NA,NA,Lile piquitinga,(Schreiner & Ribeiro 1903),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LCS,1210506302,Pacific piquitinga,Harengule piquitinge Pacifique,Sardineta piquitinga pelada,رنكة صغيرة بيكويتِنكا للمحيط الهادئ,太平洋侧带鲱,NA,Lile stolifera,(Jordan & Gilbert 1882),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
PIL,1210506401,European pilchard(=Sardine),Sardine commune,Sardina europea,سردين أوروبا,沙丁鱼,Сардина европейская,Sardina pilchardus,(Walbaum 1792),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SPR,1210506601,European sprat,Sprat,Espadín,NA,NA,Шпрот европейский,Sprattus sprattus,(Linnaeus 1758),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
FAS,1210506602,Falkland sprat,Sprat des îles Falkland,Espadín de las Malvinas,NA,NA,NA,Sprattus fuegensis,(Jenyns 1842),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MES,1210506702,Pacific menhaden,Menhaden du Pacifique,Machete,NA,NA,NA,Ethmidium maculatum,(Valenciennes 1847),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HES,1210507201,Bluestripe herring,Hareng à bande bleue,Arenque banda azul,NA,NA,NA,Herklotsichthys quadrimaculat.,(Rüppell 1837),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HKD,1210507202,Blacksaddle herring,NA,NA,NA,NA,NA,Herklotsichthys dispilonotus,(Bleeker 1852),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HKG,1210507203,Goto's herring,NA,NA,NA,NA,NA,Herklotsichthys gotoi,Wongratana 1983,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HKL,1210507204,Gulf herring,NA,NA,NA,NA,NA,Herklotsichthys lossei,Wongratana 1983,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
JBL,1210507205,Spotback herring,Hareng tacheté,Arenque manchado,NA,NA,NA,Herklotsichthys punctatus,(Rüppell 1837),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
JJF,1210507206,Reunion herring,Hareng de La Réunion,NA,NA,NA,NA,Herklotsichthys spilurus,(Guichenot 1863),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
